,time,cum_sec,self_sec,calls,self_s_call,tot_s_call,namespace,class,function,definition
162,0.07,491.3,0.37,3233192.0,0.0,0.0,,MatrixIntraPrediction,prepareInputForPred,"MatrixIntraPrediction::prepareInputForPred(AreaBuf<short const> const&, Area const&, int, ComponentID)"
163,0.07,491.67,0.37,744327.0,0.0,0.0,,IntraSearch,reduceHadCandList,"void IntraSearch::reduceHadCandList<IntraSearch::ModeInfo, 99ul>(static_vector<IntraSearch::ModeInfo, 99ul>&, static_vector<double, 99ul>&, int&, double, double const*, PredictionUnit const&, bool)"
164,0.07,492.03,0.36,4413709.0,0.0,0.0,,DeriveCtx,CtxSplit,"DeriveCtx::CtxSplit(CodingStructure const&, Partitioner&, unsigned int&, unsigned int&, unsigned int&, unsigned int&, unsigned int&, bool*)"
165,0.07,492.39,0.36,58285679.0,0.0,0.0,std,vector,_M_range_insert,"void std::vector<TransformUnit*, std::allocator<TransformUnit*> >::_M_range_insert<__gnu_cxx::__normal_iterator<TransformUnit**, std::vector<TransformUnit*, std::allocator<TransformUnit*> > > >(__gnu_cxx::__normal_iterator<TransformUnit**, std::vector<TransformUnit*, std::allocator<TransformUnit*> > >, __gnu_cxx::__normal_iterator<TransformUnit**, std::vector<TransformUnit*, std::allocator<TransformUnit*> > >, __gnu_cxx::__normal_iterator<TransformUnit**, std::vector<TransformUnit*, std::allocator<TransformUnit*> > >, std::forward_iterator_tag)"
166,0.07,492.75,0.36,2486175.0,0.0,0.0,,,fastInverseDCT2_B2,"fastInverseDCT2_B2(int const*, int*, int, int, int, int, int, int)"
167,0.07,493.11,0.36,3658898.0,0.0,0.0,,CacheBlkInfoCtrl,getBlkInfo,CacheBlkInfoCtrl::getBlkInfo(UnitArea const&)
168,0.07,493.46,0.35,741667.0,0.0,0.0,,RdCost,xGetSAD32,RdCost::xGetSAD32(DistParam const&)
169,0.07,493.81,0.35,70437837.0,0.0,0.0,,IntraPrediction,getModifiedWideAngle,"IntraPrediction::getModifiedWideAngle(int, int, int)"
170,0.06,494.15,0.34,17287920.0,0.0,0.0,,IntraSearch,xGetNextISPMode,"IntraSearch::xGetNextISPMode(IntraSearch::ModeInfo&, IntraSearch::ModeInfo const*, Size)"
171,0.06,494.49,0.34,7042133.0,0.0,0.0,,,fastInverseDST7_B4,"fastInverseDST7_B4(int const*, int*, int, int, int, int, int, int)"
172,0.06,494.83,0.34,33572325.0,0.0,0.0,,CS,getArea,"CS::getArea(CodingStructure const&, UnitArea const&, ChannelType)"
173,0.06,495.17,0.34,211928772.0,0.0,0.0,,CodingUnit,isSepTree,CodingUnit::isSepTree() const
174,0.06,495.51,0.34,9160314.0,0.0,0.0,,CABACWriter,joint_cb_cr,"CABACWriter::joint_cb_cr(TransformUnit const&, int)"
175,0.06,495.84,0.34,63924292.0,0.0,0.0,,PreCalcValues,getMaxBtDepth,"PreCalcValues::getMaxBtDepth(Slice const&, ChannelType) const"
176,0.06,496.17,0.33,115153446.0,0.0,0.0,,CodingStructure,getPU,"CodingStructure::getPU(Position const&, ChannelType) const"
177,0.06,496.5,0.33,3064126.0,0.0,0.0,,std,pair,"std::pair<long, long> fwdTransformCbCr<-2>(AreaBuf<short> const&, AreaBuf<short> const&, AreaBuf<short>&, AreaBuf<short>&)"
178,0.06,496.83,0.33,3064126.0,0.0,0.0,,TrQuant,selectICTCandidates,"TrQuant::selectICTCandidates(TransformUnit const&, CompStorage*, CompStorage*)"
179,0.06,497.16,0.33,123021813.0,0.0,0.0,,PU,getIntraDirLuma,PU::getIntraDirLuma(PredictionUnit const&)
180,0.06,497.48,0.32,28510578.0,0.0,0.0,DQIntern,RateEstimator,initCtx,"DQIntern::RateEstimator::initCtx(DQIntern::TUParameters const&, TransformUnit const&, ComponentID, FracBitsAccess const&)"
181,0.06,497.79,0.31,1083969.0,0.0,0.0,,EncModeCtrlMTnoRQT,initCULevel,"EncModeCtrlMTnoRQT::initCULevel(Partitioner&, CodingStructure const&)"
182,0.06,498.08,0.29,14303282.0,0.0,0.0,std,vector,_M_realloc_insert,"void std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_realloc_insert<std::pair<int, int> >(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, std::pair<int, int>&&)"
183,0.06,498.37,0.29,116321549.0,0.0,0.0,,TU,getCbf,"TU::getCbf(TransformUnit const&, ComponentID const&)"
184,0.06,498.66,0.29,1565477.0,0.0,0.0,,AdaptiveDepthPartitioner,setMaxMinDepth,"AdaptiveDepthPartitioner::setMaxMinDepth(unsigned int&, unsigned int&, CodingStructure const&) const"
185,0.06,498.95,0.29,92537680.0,0.0,0.0,,BitEstimatorBase,resetBits,BitEstimatorBase::resetBits()
186,0.05,499.23,0.28,1198080.0,0.0,0.0,,EncAdaptiveLoopFilter,calcCovariance,"EncAdaptiveLoopFilter::calcCovariance(short (*) [4], short const*, int, AlfFilterShape const&, int, ChannelType, int)"
